train_no,direction,train_length_km,train_length_m,acceleration_m_s2,deceleration_m_s2,priority,max_speed_kmph,op_days,num_halts
12541,up,0.686,686,0.33,0.8,2,100,all,2
15279,up,0.686,686,0.33,0.8,1,110,all,2
19270,up,0.686,686,0.33,0.8,1,110,all,3
15708,down,0.686,686,0.33,0.8,1,110,all,2
11015,down,0.686,686,0.33,0.8,1,110,all,2
55050,down,0.686,686,0.33,0.8,1,90,all,12
15007,up,0.686,686,0.33,0.8,1,110,all,5
15909,up,0.686,686,0.33,0.8,1,110,all,3
12203,up,0.686,686,0.33,0.8,1,110,all,2
15009,up,0.686,686,0.33,0.8,1,110,all,2
15114,up,0.686,686,0.33,0.8,1,110,all,2
55035,up,0.686,686,0.33,0.8,3,90,all,9
14009,up,0.686,686,0.33,0.8,1,110,all,2
55049,up,0.686,686,0.33,0.8,3,90,all,12
15211,up,0.686,686,0.33,0.8,1,110,all,2
15069,up,0.686,686,0.33,0.8,1,110,all,2
12531,up,0.686,686,0.33,0.8,1,110,all,2
15015,up,0.686,686,0.33,0.8,1,110,all,2
15203,up,0.686,686,0.33,0.8,1,110,all,5
15063,up,0.686,686,0.33,0.8,1,110,all,3
22531,up,0.686,686,0.33,0.8,1,110,all,2
55033,up,0.686,686,0.33,0.8,3,90,all,9
22423,up,0.686,686,0.33,0.8,1,110,All,2
15707,up,0.686,686,0.33,0.8,1,110,All,2
19038,up,0.686,686,0.33,0.8,1,110,All,5
12587,up,0.686,686,0.33,0.8,1,110,All,2
15655,up,0.686,686,0.33,0.8,1,110,All,2
55031,up,0.686,686,0.33,0.8,1,90,All,12
12565,up,0.686,686,0.33,0.8,1,110,All,2
15273,up,0.686,686,0.33,0.8,1,110,All,4
12555,up,0.686,686,0.33,0.8,1,110,All,2
12553,up,0.686,686,0.33,0.8,1,110,All,2
13019,up,0.686,686,0.33,0.8,1,110,All,3
12557,up,0.686,686,0.33,0.8,1,110,All,2
11016,up,0.686,686,0.33,0.8,1,110,All,2
14673,up,0.686,686,0.33,0.8,1,110,All,2
15209,up,0.686,686,0.33,0.8,1,110,All,2
12529,up,0.686,686,0.33,0.8,1,110,All,2
12554,down,0.686,686,0.33,0.8,1,110,All,2
12556,down,0.686,686,0.33,0.8,1,110,All,2
12530,down,0.686,686,0.33,0.8,1,110,All,2
14674,down,0.686,686,0.33,0.8,1,110,All,2
13020,down,0.686,686,0.33,0.8,1,110,All,3
19039,down,0.686,686,0.33,0.8,1,110,All,4
22921,down,0.686,686,0.33,0.8,1,110,All,2
15904,down,0.686,686,0.33,0.8,1,110,All,2
12542,down,0.686,686,0.33,0.8,2,100,All,2
15270,down,0.686,686,0.33,0.8,1,110,All,2
15070,down,0.686,686,0.33,0.8,1,110,All,2
15204,down,0.686,686,0.33,0.8,1,110,All,5
12532,down,0.686,686,0.33,0.8,1,110,All,2
55032,down,0.686,686,0.33,0.8,1,90,All,12
15910,down,0.686,686,0.33,0.8,1,110,All,3
11124,down,0.686,686,0.33,0.8,1,110,All,4
12566,down,0.686,686,0.33,0.8,1,110,All,2
12558,down,0.686,686,0.33,0.8,1,110,All,2
15010,down,0.686,686,0.33,0.8,1,110,All,2
22552,down,0.686,686,0.33,0.8,1,110,All,2
22424,down,0.686,686,0.33,0.8,1,110,All,2
15274,down,0.686,686,0.33,0.8,1,110,All,4
55034,down,0.686,686,0.33,0.8,3,90,All,9
15212,down,0.686,686,0.33,0.8,1,110,All,2
55036,down,0.686,686,0.33,0.8,1,90,All,9
15210,down,0.686,686,0.33,0.8,1,110,All,3
15113,down,0.686,686,0.33,0.8,1,110,All,2
